epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,5,,,0.9285714030265808,0.25552457571029663
0,5,0.57485032081604,0.6085029244422913,,
1,11,,,0.9523809552192688,0.156601682305336
1,11,0.8622754216194153,0.2960415780544281,,
2,17,,,0.9523809552192688,0.09757795929908752
2,17,0.9281437397003174,0.21628068387508392,,
