epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,5,,,0.9285714030265808,0.255524605512619
0,5,0.57485032081604,0.6085029244422913,,
1,11,,,0.9523809552192688,0.15660174190998077
1,11,0.8622754216194153,0.2960415780544281,,
2,17,,,0.9523809552192688,0.09757798910140991
2,17,0.9281437397003174,0.21628068387508392,,
